run,type,slice,n,cos,nmse
uniform_motion_s1234_af_fr_zs_a025,步长,h=16,100,0.6841,0.6365
uniform_motion_s1234_af_fr_zs_a025,步长,h=28,100,0.2943,1.496
uniform_motion_s1234_af_fr_zs_a050,分区,ID,406,0.9114,0.1557
uniform_motion_s1234_af_fr_zs_a050,分区,r/m-OOD,464,0.803,0.428
uniform_motion_s1234_af_fr_zs_a050,分区,v-OOD,841,0.5698,0.7207
uniform_motion_s1234_af_fr_zs_a050,分区,both-OOD,1189,0.6378,0.7101
uniform_motion_s1234_af_fr_zs_a050,步长,h=1,100,0.994,0.0143
uniform_motion_s1234_af_fr_zs_a050,步长,h=2,100,0.9891,0.0257
uniform_motion_s1234_af_fr_zs_a050,步长,h=4,100,0.9778,0.0515
uniform_motion_s1234_af_fr_zs_a050,步长,h=8,100,0.9414,0.1369
uniform_motion_s1234_af_fr_zs_a050,步长,h=16,100,0.6873,0.6095
uniform_motion_s1234_af_fr_zs_a050,步长,h=28,100,0.296,1.4773
uniform_motion_s1234_af_fr_zs_a100,分区,ID,406,0.8213,0.3155
uniform_motion_s1234_af_fr_zs_a100,分区,r/m-OOD,464,0.6976,0.7626
uniform_motion_s1234_af_fr_zs_a100,分区,v-OOD,841,0.5704,0.6793
uniform_motion_s1234_af_fr_zs_a100,分区,both-OOD,1189,0.5907,0.7435
uniform_motion_s1234_af_fr_zs_a100,步长,h=1,100,0.992,0.0192
uniform_motion_s1234_af_fr_zs_a100,步长,h=2,100,0.9858,0.0334
uniform_motion_s1234_af_fr_zs_a100,步长,h=4,100,0.9701,0.0696
uniform_motion_s1234_af_fr_zs_a100,步长,h=8,100,0.9172,0.1948
uniform_motion_s1234_af_fr_zs_a100,步长,h=16,100,0.6298,0.7201
uniform_motion_s1234_af_fr_zs_a100,步长,h=28,100,0.2107,1.5839
uniform_motion_s3072_af_fr,分区,ID,406,0.9404,0.1202
uniform_motion_s3072_af_fr,分区,r/m-OOD,464,0.8214,0.4348
uniform_motion_s3072_af_fr,分区,v-OOD,841,0.5538,0.7941
uniform_motion_s3072_af_fr,分区,both-OOD,1189,0.6352,0.7566
uniform_motion_s3072_af_fr,步长,h=1,100,0.9928,0.0144
uniform_motion_s3072_af_fr,步长,h=2,100,0.9893,0.0236
uniform_motion_s3072_af_fr,步长,h=4,100,0.9774,0.0497
uniform_motion_s3072_af_fr,步长,h=8,100,0.942,0.1322
uniform_motion_s3072_af_fr,步长,h=16,100,0.6864,0.6664
uniform_motion_s3072_af_fr,步长,h=28,100,0.3142,1.5919
uniform_motion_s3072_af_fr_cal_a000,分区,ID,406,0.9404,0.1202
uniform_motion_s3072_af_fr_cal_a000,分区,r/m-OOD,464,0.8214,0.4348
uniform_motion_s3072_af_fr_cal_a000,分区,v-OOD,841,0.5538,0.7941
uniform_motion_s3072_af_fr_cal_a000,分区,both-OOD,1189,0.6352,0.7566
uniform_motion_s3072_af_fr_cal_a000,步长,h=1,100,0.9928,0.0144
uniform_motion_s3072_af_fr_cal_a000,步长,h=2,100,0.9893,0.0236
uniform_motion_s3072_af_fr_cal_a000,步长,h=4,100,0.9774,0.0497
uniform_motion_s3072_af_fr_cal_a000,步长,h=8,100,0.942,0.1322
